Ano,Ciclo,Programa,Nome da Startup,Site,Estado,Status,Área de Negócio,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,ABASTECENDO,http://www.abastecendo.com.br,Rio Grande do Norte,Acelerada,Tecnologia da Informação e Comunicação,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Afeto Natural,http://www.afetonatural.com.br,São Paulo,Graduada,Cosméticos,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Agromais.Cloud,https://www.agromais.cloud/,Amapá,Acelerada,Agronegócio,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Agua Conectada,http://splora.com.br,Rio Grande do Sul,Graduada,Saneamento,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,AlecrimVi Biocosmeticos,http://www.Alecrimvi.com.br,Minas Gerais,Acelerada,Cosméticos,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Alertacar,https://alertacar.com.br,Rio Grande do Sul,Acelerada,Automóveis,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Alliance Investimentos e Negócios Imobiliários Ltda,,São Paulo,Acelerada,Outros serviços,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Amiga Pet,http://www.amigapet.com.br,São Paulo,Acelerada,Pet,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Anydocs,https://www.anydocsai.com.br/,Minas Gerais,Acelerada,Tecnologia da Informação e Comunicação,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Aquacerti,https://www.aquacerti.com.br/,São Paulo,Acelerada,Agronegócio,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Baasic,http://baasic.com.br,Sergipe,Graduada,Setor financeiro,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Bidmex,https://www.bidmex.com.br/,Pernambuco,Graduada,Serviços Logísticos,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,BIM app,https://bimapp.com.br/,Minas Gerais,Acelerada,Construção civil,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,BIOTEQUI,https://www.instagram.com/biotequibr?igsh=MTVoYzAyemF1ZGYwOQ==,Piauí,Graduada,Agronegócio,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Bloqueio Digital - salvando vidas na indústria.,http://www.inspeasy.com,Minas Gerais,Graduada,Mineração e metalurgia,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Cambui Online,http://www.cambuionline.com,Bahia,Acelerada,Artes e Cultura,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Carbono Certo,https://thingsgo.online/,Rio de Janeiro,Acelerada,Tecnologias Sustentáveis e Verdes,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Casa AMABILITAR,https://www.linkedin.com/posts/kelly-marques-de-sousa-bontempo,Maranhão,Acelerada,Saúde,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,CASCALHO,http://cascalhokids.com.br/,Pernambuco,Acelerada,Educação,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,CashCoffee,http://www.cashcoffee.com.br,Pernambuco,Graduada,Varejo,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,clapesme,http://www.clapesme.com.br,São Paulo,Graduada,Tecnologia da Informação e Comunicação,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Collection Center,https://www.collectioncenter.com.br/,Bahia,Graduada,Setor financeiro,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Comments,https://commentstech.com/,Sergipe,Acelerada,Marketing e Mídia,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Compartilhe Saúde,https://hml.sejacompartilhe.com.br/,Espírito Santo,Graduada,Saúde,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Comuniverso - Cultura de Comunicação Interna Positiva,http://www.comuniverso.com.br,Santa Catarina,Graduada,Educação,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Controllei BPO Financeiro,https://controllei.com/,Rondônia,Graduada,Setor financeiro,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,De Carona Pelo Mundo,https://www.instagram.com/decaronapelomundo/,São Paulo,Graduada,Turismo e Hotelaria,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,Dentalcubic 3d Printer,http://www.dentalcubic3dprinter.com.br,Rio de Janeiro,Graduada,Saúde,,,,,,,,,,,,,,,,,,
2024,2024.1,InovAtiva Brasil,DGTAX,https://www.dgtax.com.br/,Bahia,Graduada,Setor financeiro,,,,,,,,,,,,,,,,,,
