Ano,Ciclo,Programa,Nome da Startup,Site,Estado,Status,Área de Negócio,Resumo
2024,2024.1,InovAtiva Brasil,ABASTECENDO,http://www.abastecendo.com.br,Rio Grande do Norte,Acelerada,Tecnologia da Informação e Comunicação,Abastecendo is a Brazilian app that helps users find the best fuel prices. It connects users to create group buying power and competitive offers at partnered gas stations. Users can pay through the app and share fuel codes. Download the app on Android or iOS to start saving.
2024,2024.1,InovAtiva Brasil,Afeto Natural,http://www.afetonatural.com.br,São Paulo,Graduada,Cosméticos,Not enough information
2024,2024.1,InovAtiva Brasil,Agromais.Cloud,https://www.agromais.cloud/,Amapá,Acelerada,Agronegócio,Not enough information
2024,2024.1,InovAtiva Brasil,Agua Conectada,http://splora.com.br,Rio Grande do Sul,Graduada,Saneamento,"Splora Tecnologia is a Brazilian startup focused on technology, innovation, and sustainability to improve people's lives. They offer services like chatbot development, open innovation strategies, and digital project management. Splora emphasizes agile projects, talent development, and creating startup-like partnerships with clients."
2024,2024.1,InovAtiva Brasil,AlecrimVi Biocosmeticos,http://www.Alecrimvi.com.br,Minas Gerais,Acelerada,Cosméticos,Invalid link
2024,2024.1,InovAtiva Brasil,Alertacar,https://alertacar.com.br,Rio Grande do Sul,Acelerada,Automóveis,"AlertaCar offers vehicle history reports and data via WhatsApp to ensure safer car transactions. It provides information on auction history, accidents, and other crucial data points. Users can easily request reports by sending a license plate number."
2024,2024.1,InovAtiva Brasil,Alliance Investimentos e Negócios Imobiliários Ltda,,São Paulo,Acelerada,Outros serviços,No URL provided
2024,2024.1,InovAtiva Brasil,Amiga Pet,http://www.amigapet.com.br,São Paulo,Acelerada,Pet,"Amiga Pet is a Brazilian subscription club delivering natural pet products. They offer curated and personalized boxes for dogs and cats, designed by veterinarians. Subscribers can choose from pre-made or customized plans with flexible, no-commitment options."
2024,2024.1,InovAtiva Brasil,Anydocs,https://www.anydocsai.com.br/,Minas Gerais,Acelerada,Tecnologia da Informação e Comunicação,"Anydocs offers AI-powered document analysis for businesses, promising increased productivity and efficiency through automation. Their flexible and scalable solution analyzes various document types with fast processing times and high accuracy. They provide secure data handling with pay-per-consumption pricing."
2024,2024.1,InovAtiva Brasil,Aquacerti,https://www.aquacerti.com.br/,São Paulo,Acelerada,Agronegócio,"The domain isn't connected to a website yet. Connect it to a Wix website by going to Wix.com, Subscriptions, then Domains. Follow the steps to connect your domain."
2024,2024.1,InovAtiva Brasil,Baasic,http://baasic.com.br,Sergipe,Graduada,Setor financeiro,"Baasic provides banking technology to accelerate banking channels and create new revenue streams for businesses. They offer embedded finance solutions with complete services and partnerships.
They simplify complex banking integrations, offering consulting, a secure platform, operational support, and assistance in creating digital banks.
Their solutions are customizable, agile, and secure, allowing businesses to integrate financial services quickly and transparently, with support at every stage."
2024,2024.1,InovAtiva Brasil,Bidmex,https://www.bidmex.com.br/,Pernambuco,Graduada,Serviços Logísticos,"Bidmex is a Brazilian startup that offers a platform for intelligent freight quotes, aiming to optimize international and national logistics management. It provides tools for data-driven negotiation, transparency, and compliance. Features include real-time tracking, supplier evaluation, and dashboards for better decision-making, serving clients such as Atlas and Aeris."
2024,2024.1,InovAtiva Brasil,BIM app,https://bimapp.com.br/,Minas Gerais,Acelerada,Construção civil,Invalid link
2024,2024.1,InovAtiva Brasil,BIOTEQUI,https://www.instagram.com/biotequibr?igsh=MTVoYzAyemF1ZGYwOQ==,Piauí,Graduada,Agronegócio,Not enough information
2024,2024.1,InovAtiva Brasil,Bloqueio Digital - salvando vidas na indústria.,http://www.inspeasy.com,Minas Gerais,Graduada,Mineração e metalurgia,"Inspeasy is a Brazilian company providing solutions for safety, productivity, and sustainability. They offer digital tools like LubConnect, EPI Conectado, and Bloqueio Digital. The company focuses on optimizing operational efficiency, protecting employees, and reducing production costs with digital transformation."
2024,2024.1,InovAtiva Brasil,Cambui Online,http://www.cambuionline.com,Bahia,Acelerada,Artes e Cultura,"The domain is not connected to a website. To connect it, users should go to Wix.com, then Subscriptions > Domains. Finally, follow the steps to connect their domain."
2024,2024.1,InovAtiva Brasil,Carbono Certo,https://thingsgo.online/,Rio de Janeiro,Acelerada,Tecnologias Sustentáveis e Verdes,"Things Go Online (TGO) is a decentralized ecosystem rewarding sustainable projects on the XRP Ledger. It utilizes a TGO token to incentivize sustainable actions measured by IoT devices. The platform aims to innovate environmental impact mitigation and engage individuals/companies in sustainability. TGO has a roadmap with completed and future goals, supported by partners and a core team."
2024,2024.1,InovAtiva Brasil,Casa AMABILITAR,https://www.linkedin.com/posts/kelly-marques-de-sousa-bontempo,Maranhão,Acelerada,Saúde,Not enough information
2024,2024.1,InovAtiva Brasil,CASCALHO,http://cascalhokids.com.br/,Pernambuco,Acelerada,Educação,Not enough information
2024,2024.1,InovAtiva Brasil,CashCoffee,http://www.cashcoffee.com.br,Pernambuco,Graduada,Varejo,"CashCoffee is a Brazilian startup creating solutions for coffee shops and coffee lovers. They are building a unique solution for the market, mixing innovation and passion. They invite users to join and stay tuned for upcoming news and surprises."
2024,2024.1,InovAtiva Brasil,clapesme,http://www.clapesme.com.br,São Paulo,Graduada,Tecnologia da Informação e Comunicação,"Clapesme is a financial management platform focused on simplifying finances, especially for service-based businesses. It offers tools for cash flow control, automated bookkeeping, and simplified reporting. Future plans include expanding into new segments and offering features like invoice emission and Open Finance integration."
